searched_item,location,item_found
Pizza de Chocolate,Setor 1,False
Salada Grega,Setor 4,False
Pizza de Frango com Catupiry,Setor 4,True
Ribeye Black Angus,Setor 1,True
Linguiça Artesanal,Setor 3,True
Pudim de Leite,Setor 2,True
Omelete,Setor 3,False
Nigiri de Uni,Setor 4,False
Ratatouille,Setor 1,True
Risoto de Funghi,Setor 3,False
Pizza de Frango com Catupiry,Setor 1,False
Ostras Frescas,Setor 2,False
Cachorro-Quente,Setor 1,False
Sashimi de Toro,Setor 1,False
Milkshake,Setor 1,False
Lagosta Grelhada,Setor 1,True
Foie Gras,Setor 2,False
Pizza de Chocolate,Setor 2,False
Alcatra na Brasa,Setor 4,True
Abacaxi Grelhado,Setor 2,False
Fraldinha,Setor 1,False
Tomahawk,Setor 2,False
Coq au Vin,Setor 4,False
Frango Grelhado,Setor 3,True
Cachorro-Quente,Setor 4,False
Gnocchi ao Sugo,Setor 3,False
Risoto de Camarão,Setor 2,False
Picanha,Setor 1,False
Coq au Vin,Setor 3,False
Linguado com Trufas,Setor 1,True
Risoto de Funghi,Setor 1,True
Polvo à Lagareiro,Setor 2,False
Tacos de Carne,Setor 1,False
Homus,Setor 2,False
X-Salada,Setor 3,False
Linguado com Trufas,Setor 3,False
Bobó de Camarão,Setor 2,True
Tataki de Wagyu,Setor 4,False
Tacos de Carne,Setor 2,False
Wagyu,Setor 1,True
Sushi de Enguia,Setor 2,True
Soufflé de Chocolate,Setor 2,False
Quesadilla,Setor 1,False
Batata Frita,Setor 1,False
Tomahawk,Setor 1,True
Arroz Branco,Setor 2,False
Risoto de Funghi,Setor 1,True
Lagosta Grelhada,Setor 2,False
Spaghetti à Bolonhesa,Setor 2,True
Feijão Preto,Setor 3,True
Churros,Setor 4,True
Kafta,Setor 2,False
Cachorro-Quente,Setor 3,False
Ostras Frescas,Setor 3,False
Salada Simples,Setor 1,False
Coq au Vin,Setor 1,True
Polvo à Lagareiro,Setor 2,False
Salada Grega,Setor 4,False
Prime Rib Dry Aged,Setor 3,False
Esfiha Doce,Setor 3,False
Gnocchi ao Sugo,Setor 4,False
Moqueca de Peixe,Setor 2,True
Bobó de Camarão,Setor 1,False
Cordeiro Assado,Setor 2,False
Linguiça Artesanal,Setor 2,False
Tabule,Setor 1,False
Nachos com Guacamole,Setor 3,False
Baklava,Setor 1,False
Sashimi de Toro,Setor 4,False
Pizza de Chocolate,Setor 4,True
Tomahawk,Setor 3,False
