restaurant,location,potential_customers,obs
Restaurante 1,Setor 1,6,"Para a receita de Abacaxi Grelhado, o restaurante possui Manteiga, que está presente na lista de ingredientes da receita. Os ingredientes Abacaxi, Açúcar e Canela em pó (opcional) não estão listados nos ingredientes do restaurante."
Restaurante 1,Setor 1,6,"Para a receita de Fraldinha, os seguintes ingredientes estão presentes no restaurante: Sal grosso, Pimenta do reino, Azeite, Alho. O ingrediente Fraldinha não está listado nos ingredientes do restaurante, mas é o nome da receita, então presume-se que seja o corte de carne a ser utilizado. Sugiro verificar a disponibilidade da Fraldinha no estoque."
Restaurante 4,Setor 1,6,"Para a receita 'Abacaxi Grelhado', os seguintes ingredientes estão presentes no restaurante: Manteiga. Os ingredientes faltantes no restaurante são: Abacaxi, Açúcar, Canela em pó (opcional)."
Restaurante 6,Setor 2,7,"Para a receita 'Costelão', o restaurante possui os seguintes ingredientes: Alho, Cebola. Os ingredientes faltantes são: Costela bovina, Sal grosso, Pimenta do reino, Louro."
Restaurante 6,Setor 2,6,"Para a receita de Linguiça Artesanal, o restaurante possui os seguintes ingredientes: Alho. Os ingredientes faltantes são: Carne suína (pernil ou paleta), Gordura suína, Tripa suína, Sal, Pimenta do reino, e Temperos opcionais (páprica defumada, ervas frescas, etc.)."
Restaurante 10,Setor 2,6,"Para preparar o Risoto de Funghi, o restaurante possui os seguintes ingredientes: Manteiga e Queijo parmesão ralado. Os ingredientes faltantes são: Arroz arbóreo, Funghi secchi, Caldo de legumes, Cebola, Alho, Vinho branco seco, Azeite, Salsinha picada, Sal e Pimenta do reino."
Restaurante 7,Setor 3,6,"Para a receita 'Lagosta Grelhada', os ingredientes 'Alho', 'Limão', 'Sal' e 'Pimenta do reino' podem ser ingredientes básicos que o restaurante pode ter, mas não foram listados nos ingredientes do restaurante. Os ingredientes 'Lagosta' e 'Manteiga' não estão presentes nos ingredientes do restaurante. Portanto, é necessário verificar a disponibilidade desses ingredientes e providenciá-los para a preparação da receita."
Restaurante 7,Setor 3,6,"Para a receita de Ratatouille, os seguintes ingredientes estão presentes no restaurante: azeite de oliva, berinjela. Os ingredientes faltantes são: abobrinha, pimentão vermelho, pimentão amarelo, cebola, tomates, alho, tomilho, manjericão, sal, pimenta do reino."
Restaurante 15,Setor 3,6,"Para a receita de Cachorro-Quente, os ingredientes do restaurante não incluem: Pão para cachorro-quente, Salsicha, Molho de tomate, Mostarda, Maionese. Os ingredientes opcionais Queijo ralado e Batata palha também não estão presentes. Os ingredientes do restaurante são: arroz, feijão preto, frango, óleo de soja, alho, carne bovina, farinha de mandioca, ovo cozido, cenoura, gelatina em pó, açúcar."
Restaurante 15,Setor 3,6,"Para a receita de Ratatouille, o restaurante possui os seguintes ingredientes: alho. Os ingredientes faltantes são: berinjela, abobrinha, pimentão vermelho, pimentão amarelo, cebola, tomates, azeite de oliva, tomilho, manjericão, sal, pimenta do reino."
